coef,s,t,u,v
0.00379368000000000,0,0,0,0
0.00886523000000000,2,0,0,0
-0.0322410000000000,1,1,0,0
0.00344778000000000,0,2,0,0
-0.0408811000000000,0,1,1,0
-0.108009000000000,1,1,1,0
-0.0885381000000000,2,1,1,0
0.188561000000000,0,2,1,0
-0.00370871000000000,1,0,0,1
0.00513696000000000,0,1,0,1
0.0209449000000000,1,1,0,1
0.00474319000000000,2,1,0,1
-0.00723408000000000,2,0,1,1
0.00438388000000000,1,1,1,1
-0.0269403000000000,0,2,1,1
0.0558082000000000,3,0,1,0
0.0161886000000000,0,3,1,0
0.00318086000000000,1,3,1,0
0.0158960000000000,0,0,2,0
0.0471729000000000,1,0,2,0
0.0196283000000000,3,0,2,0
-0.0502782000000000,0,1,2,0
-0.0300550000000000,3,1,2,0
0.0417122000000000,2,2,2,0
-0.0397722000000000,0,3,2,0
-0.00350024000000000,0,6,2,0
-0.0106854000000000,3,0,0,1
0.00110903000000000,3,3,0,1
-0.000313912000000000,0,6,0,1
0.00359850000000000,3,0,1,1
-0.00142121000000000,0,6,1,1
-0.00383637000000000,1,0,2,1
0.0126803000000000,0,2,2,1
-0.00318278000000000,2,3,2,1
0.00334268000000000,0,6,2,1
-0.00183491000000000,1,1,0,2
0.000112451000000000,3,2,0,2
-0.0000297228,3,6,0,2
0.000269551000000000,1,0,1,2
0.000832650000000000,2,0,1,2
0.00155334000000000,0,2,1,2
0.000302683000000000,0,6,1,2
-0.000184300000000000,0,0,2,2
-0.000425399000000000,0,3,2,2
0.0000869243,3,3,2,2
-0.000465900000000000,0,6,2,2
0.0000554194,1,6,2,2
