coef,s,t,u,v
0.00880496000000000,0,0,0,0
-0.204554000000000,1,0,0,0
0.166351000000000,0,1,0,0
0.158114000000000,0,2,0,0
-0.147581000000000,2,0,1,0
-0.481497000000000,1,1,1,0
0.415437000000000,0,2,1,0
0.0144043000000000,0,0,0,1
-0.0530054000000000,2,0,0,1
0.0143481000000000,0,1,0,1
0.0606826000000000,1,1,0,1
-0.0125894000000000,0,0,1,1
0.0109689000000000,1,0,1,1
-0.133698000000000,0,3,0,0
0.00638407000000000,0,6,0,0
-0.00132718000000000,2,6,0,0
0.168496000000000,3,0,1,0
-0.0507214000000000,0,0,2,0
0.0854559000000000,2,0,2,0
-0.0504475000000000,3,0,2,0
0.0104650000000000,1,6,2,0
-0.00648272000000000,2,6,2,0
-0.00841728000000000,0,3,0,1
0.0168424600000000,1,3,0,1
-0.00102296000000000,3,3,0,1
-0.0317791000000000,0,3,1,1
0.0186040000000000,1,0,2,1
-0.00410798000000000,0,2,2,1
-0.000606848000000000,0,0,0,2
-0.00498190000000000,1,0,0,2
0.00259830000000000,2,0,0,2
-0.000560528000000000,3,0,0,2
-0.00163652000000000,1,2,0,2
-0.000328787000000000,1,6,0,2
0.000116502000000000,2,6,0,2
0.000690904000000000,0,0,1,2
0.00421749000000000,0,3,1,2
0.0000565229,3,6,1,2
-0.00146564000000000,0,3,2,2
