J,Kt,Kq,Eta
1,0.1605,0.056,0.456
1.05,0.1605,0.0563,0.476
1.1,0.161,0.0565,0.499
1.15,0.1628,0.057,0.523
1.2,0.166,0.0579,0.548
1.25,0.1708,0.0593,0.573
1.3,0.1768,0.0612,0.598
1.35,0.183,0.0632,0.622
1.4,0.19,0.0657,0.645
1.45,0.198,0.0685,0.667
1.5,0.206,0.0716,0.687
1.55,0.2148,0.075,0.706
1.6,0.224,0.079,0.723
1.65,0.2275,0.0811,0.737
1.7,0.22,0.0796,0.748
1.75,0.205,0.0756,0.755
1.8,0.1885,0.0713,0.758
1.85,0.171,0.0665,0.757
1.9,0.1522,0.0615,0.749
1.95,0.1312,0.0555,0.733
2,0.1092,0.0494,0.703
2.05,0.0858,0.0427,0.656
2.1,0.062,0.0355,0.584
2.15,0.037,0.0282,0.449
2.2,0.012,0.0191,0.22
