J,Kt,Kq,Eta
1.25,0.4728,0.1580,0.595
1.30,0.4440,0.1499,0.613
1.35,0.4160,0.1418,0.631
1.40,0.3885,0.1340,0.646
1.45,0.3620,0.1262,0.662
1.50,0.3360,0.1190,0.674
1.55,0.3115,0.1120,0.686
1.60,0.2880,0.1056,0.695
1.65,0.2662,0.0995,0.703
1.70,0.2445,0.0935,0.708
1.75,0.2235,0.0877,0.710
1.80,0.2025,0.0819,0.709
1.85,0.1822,0.0760,0.706
1.90,0.1628,0.0705,0.699
1.95,0.1435,0.0651,0.684
2.0,0.1232,0.0595,0.659
2.05,0.1030,0.0540,0.622
2.10,0.0818,0.0480,0.570
2.15,0.0590,0.0412,0.491
2.20,0.0358,0.0337,0.372
2.25,0.0110,0.0241,0.163
