;Blades;BAR;P/D;sigma;D;n;J;Kt;Kq;Trust;Q;Eta;THP;DHP;BHP
6;A3;0,48;1,26;1.81;2.5;4.333333333333334;1.0984615384615382;0.14921800000000016;0.03434695384615387;112188.75021701404;64558.93098958339;0.7590212307692307;1335046.1275824672;1758904.854650065;1776671.5703536011
10;A3;0,48;1,05;1.81;2.5;5.0;0.9520000000000001;0.11605759999999996;0.024143039999999994;116170.93749999996;60416.542968749985;0.724808;1382434.1562499995;1907310.8412848637;1926576.6073584482
2;A3;0,48;1,67;1.81;2.5;3.666666666666667;1.298181818181818;0.2310630181818182;0.06556930909090909;124381.90464409726;88240.38151041669;0.7278396363636364;1480144.6652647574;2033613.712849875;2054155.2655049243
8;A3;0,95;1,24;1.81;2.5;4.333333333333334;1.0984615384615382;0.15542676923076945;0.040033907692307726;116856.77994791686;75248.19509548618;0.6785233846153846;1390595.6813802107;2049444.0028304379;2070145.4574044826
7;A3;0,71;1,25;1.81;2.5;4.333333333333334;1.0984615384615382;0.16600092307692324;0.04020935384615387;124806.90060763904;75577.96571180562;0.7219236923076922;1485202.1172309045;2057284.077328625;2078064.7245743687
3;A3;0,71;1,66;1.81;2.5;3.666666666666667;1.298181818181818;0.2552739636363637;0.07425312727272729;137414.7280381945;99926.69390190976;0.710434909090909;1635235.2636545147;2301738.333420305;2324988.2155760657
4;A3;0,95;1,65;1.81;2.5;3.666666666666667;1.298181818181818;0.2583609818181819;0.07636894545454548;139076.47903645842;102774.07183159728;0.6985872727272727;1655010.1005338551;2369081.3805878884;2393011.4955433216
0;A3;0,48;2,08;1.81;2.5;3.3333333333333335;1.428;0.31438768;0.10596216;139864.3107638889;117850.70963541669;0.6740328;1664385.298090278;2469294.221424058;2494236.5872970284
12;A3;0,95;1,04;1.81;2.5;5.0;0.9520000000000001;0.13462639999999995;0.03168343999999999;134757.87109374994;79285.95214843749;0.6431696;1603618.6660156243;2493306.067350858;2518490.9771220786
9;A3;0,48;1,26;1.81;2.5;4.666666666666667;1.02;0.175234;0.0389748;152797.35503472225;84961.34244791669;0.72882;1818288.5249131948;2494838.9518855065;2520039.3453388955
11;A3;0,71;1,05;1.81;2.5;5.0;0.9520000000000001;0.14818911999999992;0.03199079999999999;148333.8359374999;80055.10253906249;0.7012360000000001;1765172.647656249;2517230.501081303;2542657.0717992964
13;A3;0,48;1,05;1.81;2.5;5.333333333333334;0.8924999999999998;0.13767600000000005;0.027176400000000007;156797.66666666677;77377.25000000004;0.7174149999999999;1865892.2333333346;2600854.781867308;2627126.0422902103
1;A3;0,71;2,06;1.81;2.5;3.3333333333333335;1.428;0.34812;0.11760048;154871.09375000003;130794.80468750001;0.6727576;1842966.0156250005;2739420.5812390684;2767091.4962010793
5;A3;0,48;1,67;1.81;2.5;4.0;1.19;0.25046440000000003;0.0696908;160453.75625;111614.171875;0.6801039999999999;1909399.699375;2807511.350286133;2835870.050794074
